cancer,run_id,cv_cindex,n_features
CRC,1,0.6034737039057078,17
CRC,2,0.6030011924403764,19
CRC,3,0.6034660738082687,21
CRC,4,0.6034660738082687,21
CRC,5,0.6034660738082687,21
CRC,6,0.6016433330747779,20
CRC,7,0.6016433330747779,20
CRC,8,0.6030011924403764,19
CRC,9,0.6030011924403764,19
CRC,10,0.6002984487770711,19
CRC,11,0.6035482453058805,24
CRC,12,0.6030011924403764,19
CRC,13,0.6030011924403764,19
CRC,14,0.6034660738082687,21
CRC,15,0.6030011924403764,19
CRC,16,0.6030011924403764,19
CRC,17,0.600984892443749,19
CRC,18,0.6030011924403764,19
CRC,19,0.6030011924403764,19
CRC,20,0.6030011924403764,19
CRC,21,0.6026012894803372,19
CRC,22,0.6016433330747779,20
CRC,23,0.6036648496515614,21
CRC,24,0.6016433330747779,20
CRC,25,0.6030011924403764,19
CRC,26,0.6030011924403764,19
CRC,27,0.6030011924403764,19
CRC,28,0.5941423414358808,19
CRC,29,0.6030011924403764,19
CRC,30,0.6030011924403764,19
IDC,1,0.6537409733996157,15
IDC,2,0.6537409733996157,15
IDC,3,0.6537409733996157,15
IDC,4,0.6537409733996157,15
IDC,5,0.6537409733996157,15
IDC,6,0.6568345319747022,15
IDC,7,0.6526628409573831,13
IDC,8,0.6539789816876931,15
IDC,9,0.6537409733996157,15
IDC,10,0.656375152069719,14
IDC,11,0.6537409733996157,15
IDC,12,0.6537409733996157,15
IDC,13,0.6539789816876931,15
IDC,14,0.656375152069719,14
IDC,15,0.6537409733996157,15
IDC,16,0.6537409733996157,15
IDC,17,0.6558971642859068,16
IDC,18,0.6537409733996157,15
IDC,19,0.6537409733996157,15
IDC,20,0.6537409733996157,15
IDC,21,0.6539789816876931,15
IDC,22,0.6537409733996157,15
IDC,23,0.6537409733996157,15
IDC,24,0.6537409733996157,15
IDC,25,0.6537409733996157,15
IDC,26,0.6537409733996157,15
IDC,27,0.6537409733996157,15
IDC,28,0.6537409733996157,15
IDC,29,0.6543831576935627,14
IDC,30,0.6537409733996157,15
LUAD,1,0.6253776448127588,19
LUAD,2,0.6235171478939947,19
LUAD,3,0.6257338982388096,22
LUAD,4,0.6257338982388096,22
LUAD,5,0.6257338982388096,22
LUAD,6,0.6254751781427651,20
LUAD,7,0.6245570668811504,18
LUAD,8,0.6255809102680063,20
LUAD,9,0.6246161856241971,19
LUAD,10,0.6265487547269616,20
LUAD,11,0.6257338982388096,22
LUAD,12,0.6256591067015228,21
LUAD,13,0.6246065368206161,19
LUAD,14,0.6256591067015228,21
LUAD,15,0.6265487547269616,20
LUAD,16,0.6265487547269616,20
LUAD,17,0.6258917623511465,23
LUAD,18,0.6245570668811504,18
LUAD,19,0.6257338982388096,22
LUAD,20,0.6257338982388096,22
LUAD,21,0.6256591067015228,21
LUAD,22,0.6255809102680063,20
LUAD,23,0.6258837388282148,20
LUAD,24,0.6256591067015228,21
LUAD,25,0.6245570668811504,18
LUAD,26,0.626352004281584,23
LUAD,27,0.6260462707849586,20
LUAD,28,0.6245570668811504,18
LUAD,29,0.6255809102680063,20
LUAD,30,0.6260462707849586,20
PAAD,1,0.5851794197633329,20
PAAD,2,0.5834102403270498,20
PAAD,3,0.5827608572440249,21
PAAD,4,0.5861181729579898,19
PAAD,5,0.5825801702971868,17
PAAD,6,0.5819957771346049,18
PAAD,7,0.5827608572440249,21
PAAD,8,0.5822772546213513,18
PAAD,9,0.5859181714668085,20
PAAD,10,0.5869611527483312,18
PAAD,11,0.582941219688702,17
PAAD,12,0.5825028662988544,21
PAAD,13,0.5822667711950403,17
PAAD,14,0.5859656920569231,19
PAAD,15,0.5817199989679332,18
PAAD,16,0.5856919622571226,20
PAAD,17,0.5852005277205384,19
PAAD,18,0.5833277776083046,23
PAAD,19,0.5859181714668085,20
PAAD,20,0.5811765224130123,20
PAAD,21,0.5822667711950403,17
PAAD,22,0.5822772546213513,18
PAAD,23,0.5822772546213513,18
PAAD,24,0.5838932702513079,19
PAAD,25,0.5852005277205384,19
PAAD,26,0.582941219688702,17
PAAD,27,0.5854419336074769,19
PAAD,28,0.5834102403270498,20
PAAD,29,0.5859181714668085,20
PAAD,30,0.5861181729579898,19
PRAD,1,0.6845255250519297,15
PRAD,2,0.6833527014838813,12
PRAD,3,0.6828177067422264,12
PRAD,4,0.6845255250519297,15
PRAD,5,0.6820394716914928,15
PRAD,6,0.6808700879180436,16
PRAD,7,0.6837113237704775,16
PRAD,8,0.6808700879180436,16
PRAD,9,0.6820394716914928,15
PRAD,10,0.6841643293134139,14
PRAD,11,0.6820394716914928,15
PRAD,12,0.6837196225561495,17
PRAD,13,0.6845255250519297,15
PRAD,14,0.6845255250519297,15
PRAD,15,0.682697530593948,15
PRAD,16,0.6837196225561495,17
PRAD,17,0.6837196225561495,17
PRAD,18,0.6845255250519297,15
PRAD,19,0.6845255250519297,15
PRAD,20,0.6808700879180436,16
PRAD,21,0.6845255250519297,15
PRAD,22,0.6845255250519297,15
PRAD,23,0.6845255250519297,15
PRAD,24,0.6845255250519297,15
PRAD,25,0.6845255250519297,15
PRAD,26,0.6808700879180436,16
PRAD,27,0.6808700879180436,16
PRAD,28,0.6833527014838813,12
PRAD,29,0.6845255250519297,15
PRAD,30,0.6845255250519297,15
