run_id,cancer,rank_in_run,feature_name_display,feature_name_internal,pathway,main_effect,abs_main_effect,effect_sign
4,CRC,10,PI3K_any_rate,PW_PI3K_any_rate_z,PI3K,0.002,0.002,positive
4,CRC,11,PI3K_mut_rate,PW_PI3K_mut_rate_z,PI3K,0.002,0.002,positive
4,CRC,12,MYC_amp_hit,PW_MYC_amp_hit,MYC,0.002,0.002,positive
4,CRC,14,TGF_Beta_amp_hit,PW_TGF_Beta_amp_hit,TGF_Beta,0.002,0.002,positive
4,CRC,15,Chromatin_amp_hit,PW_Chromatin_amp_hit,Chromatin,0.001,0.001,positive
4,CRC,16,Chromatin_sv_hit,PW_Chromatin_sv_hit,Chromatin,0.0,0.0,zero
4,CRC,17,MYC_sv_hit,PW_MYC_sv_hit,MYC,0.0,0.0,zero
4,CRC,18,MYC_any_rate,PW_MYC_any_rate_z,MYC,0.0,0.0,zero
4,CRC,19,WNT_amp_hit,PW_WNT_amp_hit,WNT,0.0,0.0,zero
4,CRC,21,PI3K_zsum,PW_PI3K_zsum,PI3K,-0.001,0.001,negative
4,CRC,22,TP53_del_hit,PW_TP53_del_hit,TP53,-0.001,0.001,negative
4,CRC,23,DDR_sv_hit,PW_DDR_sv_hit,DDR,-0.002,0.002,negative
4,CRC,27,MYC_mut_rate,PW_MYC_mut_rate_z,MYC,-0.002,0.002,negative
4,CRC,29,MYC_del_hit,PW_MYC_del_hit,MYC,-0.004,0.004,negative
5,CRC,1,All_Pathway_Alteration_Count,PW_HIT_COUNT,,0.0228,0.0228,positive
5,CRC,2,TGF_Beta_zsum,PW_TGF_Beta_zsum,TGF_Beta,0.014,0.014,positive
5,CRC,3,WNT_zsum,PW_WNT_zsum,WNT,0.012,0.012,positive
5,CRC,4,Chromatin_any_rate,PW_Chromatin_any_rate_z,Chromatin,0.008,0.008,positive
5,CRC,6,DDR_zsum,PW_DDR_zsum,DDR,0.006,0.006,positive
5,CRC,7,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,0.006,0.006,positive
5,CRC,9,MYC_zsum,PW_MYC_zsum,MYC,0.002,0.002,positive
5,CRC,10,PI3K_any_rate,PW_PI3K_any_rate_z,PI3K,0.002,0.002,positive
5,CRC,11,PI3K_mut_rate,PW_PI3K_mut_rate_z,PI3K,0.002,0.002,positive
5,CRC,12,MYC_amp_hit,PW_MYC_amp_hit,MYC,0.002,0.002,positive
5,CRC,14,TGF_Beta_amp_hit,PW_TGF_Beta_amp_hit,TGF_Beta,0.002,0.002,positive
5,CRC,15,Chromatin_amp_hit,PW_Chromatin_amp_hit,Chromatin,0.001,0.001,positive
5,CRC,16,Chromatin_sv_hit,PW_Chromatin_sv_hit,Chromatin,0.0,0.0,zero
5,CRC,17,MYC_sv_hit,PW_MYC_sv_hit,MYC,0.0,0.0,zero
5,CRC,18,MYC_any_rate,PW_MYC_any_rate_z,MYC,0.0,0.0,zero
5,CRC,19,WNT_amp_hit,PW_WNT_amp_hit,WNT,0.0,0.0,zero
5,CRC,21,PI3K_zsum,PW_PI3K_zsum,PI3K,-0.001,0.001,negative
5,CRC,22,TP53_del_hit,PW_TP53_del_hit,TP53,-0.001,0.001,negative
5,CRC,23,DDR_sv_hit,PW_DDR_sv_hit,DDR,-0.002,0.002,negative
5,CRC,27,MYC_mut_rate,PW_MYC_mut_rate_z,MYC,-0.002,0.002,negative
5,CRC,29,MYC_del_hit,PW_MYC_del_hit,MYC,-0.004,0.004,negative
6,CRC,1,All_Pathway_Alteration_Count,PW_HIT_COUNT,,0.0228,0.0228,positive
6,CRC,2,TGF_Beta_zsum,PW_TGF_Beta_zsum,TGF_Beta,0.017,0.017,positive
6,CRC,4,Chromatin_mut_rate,PW_Chromatin_mut_rate_z,Chromatin,0.008,0.008,positive
6,CRC,5,DDR_zsum,PW_DDR_zsum,DDR,0.006,0.006,positive
6,CRC,6,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,0.006,0.006,positive
6,CRC,7,WNT_mut_rate,PW_WNT_mut_rate_z,WNT,0.005,0.005,positive
6,CRC,8,WNT_any_rate,PW_WNT_any_rate_z,WNT,0.005,0.005,positive
6,CRC,10,PI3K_zsum,PW_PI3K_zsum,PI3K,0.002,0.002,positive
6,CRC,11,MYC_amp_hit,PW_MYC_amp_hit,MYC,0.002,0.002,positive
6,CRC,12,Chromatin_amp_hit,PW_Chromatin_amp_hit,Chromatin,0.002,0.002,positive
6,CRC,13,PI3K_any_rate,PW_PI3K_any_rate_z,PI3K,0.001,0.001,positive
6,CRC,16,TGF_Beta_amp_hit,PW_TGF_Beta_amp_hit,TGF_Beta,0.0,0.0,zero
6,CRC,18,MYC_mut_rate,PW_MYC_mut_rate_z,MYC,0.0,0.0,zero
6,CRC,20,TP53_del_hit,PW_TP53_del_hit,TP53,0.0,0.0,zero
6,CRC,21,DDR_sv_hit,PW_DDR_sv_hit,DDR,0.0,0.0,zero
6,CRC,22,Chromatin_sv_hit,PW_Chromatin_sv_hit,Chromatin,-0.001,0.001,negative
6,CRC,23,WNT_sv_hit,PW_WNT_sv_hit,WNT,-0.002,0.002,negative
6,CRC,25,MYC_del_hit,PW_MYC_del_hit,MYC,-0.002,0.002,negative
6,CRC,27,TGF_Beta_sv_hit,PW_TGF_Beta_sv_hit,TGF_Beta,-0.003,0.003,negative
6,CRC,28,MYC_sv_hit,PW_MYC_sv_hit,MYC,-0.004,0.004,negative
7,CRC,1,All_Pathway_Alteration_Count,PW_HIT_COUNT,,0.0228,0.0228,positive
7,CRC,2,TGF_Beta_zsum,PW_TGF_Beta_zsum,TGF_Beta,0.017,0.017,positive
7,CRC,4,Chromatin_mut_rate,PW_Chromatin_mut_rate_z,Chromatin,0.008,0.008,positive
7,CRC,5,DDR_zsum,PW_DDR_zsum,DDR,0.006,0.006,positive
7,CRC,6,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,0.006,0.006,positive
7,CRC,7,WNT_mut_rate,PW_WNT_mut_rate_z,WNT,0.005,0.005,positive
7,CRC,8,WNT_any_rate,PW_WNT_any_rate_z,WNT,0.005,0.005,positive
7,CRC,10,PI3K_zsum,PW_PI3K_zsum,PI3K,0.002,0.002,positive
7,CRC,11,MYC_amp_hit,PW_MYC_amp_hit,MYC,0.002,0.002,positive
7,CRC,12,Chromatin_amp_hit,PW_Chromatin_amp_hit,Chromatin,0.002,0.002,positive
7,CRC,13,PI3K_any_rate,PW_PI3K_any_rate_z,PI3K,0.001,0.001,positive
7,CRC,16,TGF_Beta_amp_hit,PW_TGF_Beta_amp_hit,TGF_Beta,0.0,0.0,zero
7,CRC,18,MYC_mut_rate,PW_MYC_mut_rate_z,MYC,0.0,0.0,zero
7,CRC,20,TP53_del_hit,PW_TP53_del_hit,TP53,0.0,0.0,zero
7,CRC,21,DDR_sv_hit,PW_DDR_sv_hit,DDR,0.0,0.0,zero
7,CRC,22,Chromatin_sv_hit,PW_Chromatin_sv_hit,Chromatin,-0.001,0.001,negative
7,CRC,23,WNT_sv_hit,PW_WNT_sv_hit,WNT,-0.002,0.002,negative
7,CRC,25,MYC_del_hit,PW_MYC_del_hit,MYC,-0.002,0.002,negative
7,CRC,27,TGF_Beta_sv_hit,PW_TGF_Beta_sv_hit,TGF_Beta,-0.003,0.003,negative
7,CRC,28,MYC_sv_hit,PW_MYC_sv_hit,MYC,-0.004,0.004,negative
8,CRC,1,All_Pathway_Alteration_Count,PW_HIT_COUNT,,0.0228,0.0228,positive
8,CRC,2,WNT_zsum,PW_WNT_zsum,WNT,0.014,0.014,positive
8,CRC,4,Chromatin_mut_rate,PW_Chromatin_mut_rate_z,Chromatin,0.008,0.008,positive
8,CRC,5,TGF_Beta_any_rate,PW_TGF_Beta_any_rate_z,TGF_Beta,0.008,0.008,positive
8,CRC,6,TGF_Beta_zsum,PW_TGF_Beta_zsum,TGF_Beta,0.007,0.007,positive
8,CRC,7,MYC_amp_hit,PW_MYC_amp_hit,MYC,0.006,0.006,positive
8,CRC,8,DDR_zsum,PW_DDR_zsum,DDR,0.006,0.006,positive
8,CRC,9,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,0.006,0.006,positive
8,CRC,12,Chromatin_any_rate,PW_Chromatin_any_rate_z,Chromatin,0.002,0.002,positive
8,CRC,13,TP53_del_hit,PW_TP53_del_hit,TP53,0.002,0.002,positive
8,CRC,14,MYC_del_hit,PW_MYC_del_hit,MYC,0.002,0.002,positive
8,CRC,15,PI3K_any_rate,PW_PI3K_any_rate_z,PI3K,0.002,0.002,positive
8,CRC,16,MYC_mut_rate,PW_MYC_mut_rate_z,MYC,0.001,0.001,positive
8,CRC,17,Chromatin_amp_hit,PW_Chromatin_amp_hit,Chromatin,0.0,0.0,zero
8,CRC,18,WNT_amp_hit,PW_WNT_amp_hit,WNT,0.0,0.0,zero
8,CRC,21,PI3K_zsum,PW_PI3K_zsum,PI3K,-0.001,0.001,negative
8,CRC,23,TGF_Beta_amp_hit,PW_TGF_Beta_amp_hit,TGF_Beta,-0.001,0.001,negative
8,CRC,25,DDR_sv_hit,PW_DDR_sv_hit,DDR,-0.004,0.004,negative
8,CRC,26,MYC_sv_hit,PW_MYC_sv_hit,MYC,-0.005,0.005,negative
9,CRC,1,All_Pathway_Alteration_Count,PW_HIT_COUNT,,0.0228,0.0228,positive
9,CRC,2,WNT_zsum,PW_WNT_zsum,WNT,0.014,0.014,positive
9,CRC,4,Chromatin_mut_rate,PW_Chromatin_mut_rate_z,Chromatin,0.008,0.008,positive
9,CRC,5,TGF_Beta_any_rate,PW_TGF_Beta_any_rate_z,TGF_Beta,0.008,0.008,positive
9,CRC,6,TGF_Beta_zsum,PW_TGF_Beta_zsum,TGF_Beta,0.007,0.007,positive
9,CRC,7,MYC_amp_hit,PW_MYC_amp_hit,MYC,0.006,0.006,positive
9,CRC,8,DDR_zsum,PW_DDR_zsum,DDR,0.006,0.006,positive
9,CRC,9,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,0.006,0.006,positive
9,CRC,12,Chromatin_any_rate,PW_Chromatin_any_rate_z,Chromatin,0.002,0.002,positive
9,CRC,13,TP53_del_hit,PW_TP53_del_hit,TP53,0.002,0.002,positive
9,CRC,14,MYC_del_hit,PW_MYC_del_hit,MYC,0.002,0.002,positive
9,CRC,15,PI3K_any_rate,PW_PI3K_any_rate_z,PI3K,0.002,0.002,positive
9,CRC,16,MYC_mut_rate,PW_MYC_mut_rate_z,MYC,0.001,0.001,positive
9,CRC,17,Chromatin_amp_hit,PW_Chromatin_amp_hit,Chromatin,0.0,0.0,zero
9,CRC,18,WNT_amp_hit,PW_WNT_amp_hit,WNT,0.0,0.0,zero
9,CRC,21,PI3K_zsum,PW_PI3K_zsum,PI3K,-0.001,0.001,negative
9,CRC,23,TGF_Beta_amp_hit,PW_TGF_Beta_amp_hit,TGF_Beta,-0.001,0.001,negative
9,CRC,25,DDR_sv_hit,PW_DDR_sv_hit,DDR,-0.004,0.004,negative
9,CRC,26,MYC_sv_hit,PW_MYC_sv_hit,MYC,-0.005,0.005,negative
10,CRC,1,All_Pathway_Alteration_Count,PW_HIT_COUNT,,0.0228,0.0228,positive
10,CRC,2,TGF_Beta_zsum,PW_TGF_Beta_zsum,TGF_Beta,0.015,0.015,positive
10,CRC,3,WNT_zsum,PW_WNT_zsum,WNT,0.012,0.012,positive
10,CRC,5,Chromatin_mut_rate,PW_Chromatin_mut_rate_z,Chromatin,0.008,0.008,positive
10,CRC,6,DDR_zsum,PW_DDR_zsum,DDR,0.007,0.007,positive
10,CRC,7,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,0.007,0.007,positive
10,CRC,8,MYC_any_rate,PW_MYC_any_rate_z,MYC,0.003,0.003,positive
10,CRC,9,MYC_amp_hit,PW_MYC_amp_hit,MYC,0.003,0.003,positive
10,CRC,12,TP53_del_hit,PW_TP53_del_hit,TP53,0.001,0.001,positive
10,CRC,13,MYC_del_hit,PW_MYC_del_hit,MYC,0.001,0.001,positive
10,CRC,14,MYC_mut_rate,PW_MYC_mut_rate_z,MYC,0.001,0.001,positive
10,CRC,16,PI3K_zsum,PW_PI3K_zsum,PI3K,0.0,0.0,zero
10,CRC,19,MYC_zsum,PW_MYC_zsum,MYC,-0.001,0.001,negative
10,CRC,20,PI3K_any_rate,PW_PI3K_any_rate_z,PI3K,-0.001,0.001,negative
10,CRC,21,Chromatin_amp_hit,PW_Chromatin_amp_hit,Chromatin,-0.001,0.001,negative
10,CRC,22,DDR_sv_hit,PW_DDR_sv_hit,DDR,-0.001,0.001,negative
10,CRC,23,TGF_Beta_amp_hit,PW_TGF_Beta_amp_hit,TGF_Beta,-0.001,0.001,negative
10,CRC,24,MYC_sv_hit,PW_MYC_sv_hit,MYC,-0.002,0.002,negative
10,CRC,25,WNT_amp_hit,PW_WNT_amp_hit,WNT,-0.003,0.003,negative
11,CRC,1,All_Pathway_Alteration_Count,PW_HIT_COUNT,,0.0228,0.0228,positive
11,CRC,3,WNT_mut_rate,PW_WNT_mut_rate_z,WNT,0.008,0.008,positive
11,CRC,4,DDR_zsum,PW_DDR_zsum,DDR,0.007,0.007,positive
11,CRC,5,TGF_Beta_zsum,PW_TGF_Beta_zsum,TGF_Beta,0.007,0.007,positive
11,CRC,6,Chromatin_mut_rate,PW_Chromatin_mut_rate_z,Chromatin,0.007,0.007,positive
11,CRC,7,TGF_Beta_any_rate,PW_TGF_Beta_any_rate_z,TGF_Beta,0.007,0.007,positive
11,CRC,9,WNT_any_rate,PW_WNT_any_rate_z,WNT,0.005,0.005,positive
11,CRC,10,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,0.005,0.005,positive
11,CRC,11,MYC_zsum,PW_MYC_zsum,MYC,0.004,0.004,positive
11,CRC,13,MYC_amp_hit,PW_MYC_amp_hit,MYC,0.002,0.002,positive
11,CRC,16,TP53_any_rate,PW_TP53_any_rate_z,TP53,0.001,0.001,positive
11,CRC,17,MYC_any_rate,PW_MYC_any_rate_z,MYC,0.001,0.001,positive
11,CRC,18,Chromatin_sv_hit,PW_Chromatin_sv_hit,Chromatin,0.0,0.0,zero
11,CRC,19,Chromatin_amp_hit,PW_Chromatin_amp_hit,Chromatin,0.0,0.0,zero
11,CRC,21,PI3K_any_rate,PW_PI3K_any_rate_z,PI3K,-0.001,0.001,negative
11,CRC,22,PI3K_zsum,PW_PI3K_zsum,PI3K,-0.001,0.001,negative
11,CRC,25,TP53_mut_rate,PW_TP53_mut_rate_z,TP53,-0.002,0.002,negative
11,CRC,26,DDR_sv_hit,PW_DDR_sv_hit,DDR,-0.002,0.002,negative
11,CRC,27,TP53_sv_hit,PW_TP53_sv_hit,TP53,-0.002,0.002,negative
11,CRC,28,MYC_mut_rate,PW_MYC_mut_rate_z,MYC,-0.003,0.003,negative
11,CRC,29,TGF_Beta_amp_hit,PW_TGF_Beta_amp_hit,TGF_Beta,-0.003,0.003,negative
11,CRC,30,MYC_del_hit,PW_MYC_del_hit,MYC,-0.003,0.003,negative
11,CRC,31,WNT_sv_hit,PW_WNT_sv_hit,WNT,-0.004,0.004,negative
11,CRC,32,MYC_sv_hit,PW_MYC_sv_hit,MYC,-0.008,0.008,negative
12,CRC,1,All_Pathway_Alteration_Count,PW_HIT_COUNT,,0.0228,0.0228,positive
12,CRC,2,WNT_zsum,PW_WNT_zsum,WNT,0.014,0.014,positive
